Symbol	Name	Sector	Industry	PE	EPS	DivYield	Shares	DPS	PEG	PtS	PtB
AADR	Advisorshares Dorsey Wright ADR			0	0	0	0	0	0	0	0
AAMC	Altisource Asset			0	-6.6	0	1578975	0	0	2.96	0
AAU	Almaden Minerals	Basic Industries	Precious Metals	0	-0.03	0	86162600	0	0	328.19	2.93
ABE	Aberdeen EM Smaller Company Fund			0	1.25	0	0	0	0	0	0
ACIM	SPDR MSCI ACWI IMI			0	0	0	0	0	0	0	0
ACSI	American Customer Satisfaction Core Alpha ETF			0	0	0	0	0	0	0	0
ACU	Acme United Corporation	Capital Goods	Industrial Machinery/Components	16.23	1.6	1.56	3323835	0.4	1.58	0.7	1.86
ACWF	Ishares Factorselect MSCI Globa			0	0	0	0	0	0	0	0
ACWV	All Country World Min Vol MSCI Ishares			0	0	0	0	0	0	0	0
ACY	Aerocentury Corp	Technology	Diversified Commercial Services	3.53	2.78	0	1566327	0	0	0.64	0.36
ADGE	American Dg Energy Inc	Energy	Electric Utilities: Central	0	-0.009	0	50686470	0	0	2.2096	0.9038
ADK	Adcare Health Systems Inc	Health Care	Hospital/Nursing Management	0	-1.24	0	19509680	0	0	1.09	0
ADK-A	Adcare Health Systems Inc 10.87			0	0	0	0	0	0	0	0
ADZ	DB Agriculture Short ETN Powershares			0	0	0	0	0	0	0	0
AE	Adams Resources & Energy	Energy	Oil Refining/Marketing	0	-1.36	2.23	4217022	0.88	0	0.15	1.1
AFCO	American Farmland			0	-0.67	2.98	0	0.25	0	0	0
AFK	Africa Index ETF Market Vectors			0	0	0	0	0	0	0	0
AFTY	CSOP FTSE China A50 ETF			0	0	0	0	0	0	0	0
AGA	DB Agriculture Dble Short ETN Powershares			0	0	0	0	0	0	0	0
AGF	DB Agriculture Long ETN Powershares			0	0	0	0	0	0	0	0
AGG	Aggregate Bond Ishares	Finance	Closed-End Fund - Equity	0	1.6	0	0	0	0	0	0
AGGE	IQ Enhanced Core Bond U.S. ETF			0	0	0	0	0	0	0	0
AGGP	IQ Enhanced Core Plus Bond U.S.			0	0	0	0	0	0	0	0
AGGY	Wisdomtree Trust Wisdomtree Bar			0	0	0	0	0	0	0	0
AGQ	Ultra Silver Proshares			0	0	0	0	0	0	0	0
AGZ	Agency Bond Ishares			0	0	0	0	0	0	0	0
AIII	Acre Realty Investors Inc			0	-0.13	0	20460870	0	0	0	1.18
AINC	Ashford Inc Common Stock			0	-2.27	0	2015000	0	0	1.55	2.93
AIRI	Air Industries Group Inc			0	-0.63	0	7584112	0	0	0.43	0.99
AKG	Asanko Gold Inc			0	-0.02	0	201828700	0	0	5.92	1.52
ALD	Asia Local Debt ETF Wisdomtree			0	-2.91	0	0	0	0	0	0
ALFA	Alphaclone Alternative Alpha Et			0	0	0	0	0	0	0	0
ALFI	ETF Series Solutions Trust ETF			0	0	0	0	0	0	0	0
ALN	American Lorain Corp	Consumer Non-Durables	Packaged Foods	0	0	0	38266670	0	0	0.11	0.11
