Symbol	Name	Sector	Industry	PE	EPS	DivYield	Shares	DPS	PEG	PtS	PtB
AAAP	Advanced Accele. Ads			0	-0.48	0	39289560	0	0	12.42	7.91
AAL	American Airlines Gp			9.66	4.81	0.86	514531800	0.4	4.61	0.59	6.29
AAME	Atlantic Amer Cp	Finance	Life Insurance	76.53	0.05	0.54	20416000	0.02	0	0.46	0.69
AAOI	Applied Optoelect Cmn			29.58	1.1	0	17198100	0	1.42	2.39	2.91
AAON	Aaon Inc	Capital Goods	Industrial Machinery/Components	33.68	1.02	0.76	52692870	0.26	2.81	4.65	8.85
AAPC	Atlantic Alliance Or			0	-0.8	0	3652632	0	0	0	5.79
AAPL	Apple Inc	Technology	Computer Manufacturing	15.86	8.33	1.73	5246518000	2.28	1.6	3.19	5.26
AAWW	Atlas Air Ww	Transportation	Transportation Services	0	-2.04	0	25048170	0	1.16	0.72	0.87
AAXJ	Ishares MSCI Aca X-Japan			0	0	0	0	0	0	0	0
ABAC	Aoxin Tianli Grp			0	0.53	0	0	0	0	0	0
ABAX	Abaxis Inc	Capital Goods	Industrial Machinery/Components	33.71	1.49	1.12	22483090	0.56	3.93	5.01	4.37
ABCB	Ameris Bancorp	Finance	Major Banks	22.33	2.08	0.89	34876210	0.4	2.15	5.02	2.49
ABCD	Cambium Learning Grp	Consumer Services	Publishing	47.96	0.1	0	45868420	0	0	1.51	0
ABCO	Advisory Board Co	Consumer Services	Other Consumer Services	0	-1.22	0	40211640	0	1.98	2.36	4.03
ABDC	Alcentra Capital Com			0	0.14	10.87	0	1.36	0	0	0
ABEO	Abeona Therapeutics			0	-0.52	0	39958820	0	0	237.96	2.68
ABEOW	Abeona Thera Wts			0	0	0	0	0	0	0	0
ABIL	Ability Inc			0	-0.19	0	25275070	0	0	5.52	6.5
ABIO	Arca Biopharma Inc	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances	0	-1.7	0	9082353	0	0	0	0.88
ABMD	Abiomed Inc	Health Care	Medical/Dental Instruments	101.63	1.07	0	43446240	0	3.61	11.36	11.29
ABTL	Autobytel Inc	Technology	Computer Software: Programming, Data Processing	48.65	0.27	0	10961740	0	0.43	0.96	1.25
ABTX	Allegiance Banc CS			19.06	1.75	0	12958020	0	0	4.67	1.53
ABUS	Arbutus Biopharma Cp			0	-3.27	0	54839220	0	0	9.73	0.34
ABY	Atlantica Yield Plc			0	-2.24	3.06	100047600	0.65	0.94	2.15	1.13
ACAD	Acadia Pharmaceutica	Consumer Durables	Major Pharmaceuticals	0	-2.15	0	121056900	0	-1.06	853.37	7.95
ACAT	Arctic Cat Inc	Capital Goods	Industrial Specialties	0	-5.94	0	13060880	0	-0.85	0.48	2.18
ACBI	Atlantic Capital Cmn			34.64	0.55	0	25092910	0	0	5.05	1.57
ACET	Aceto Cp	Consumer Durables	Specialty Chemicals	22.03	0.71	1.68	30113180	0.26	1.04	0.85	1.18
ACFC	Atlantic Coast Finl	Finance	Savings Institutions	18.34	0.42	0	15415470	0	0	3.32	1.33
ACGL	Arch Capital Grp Ltd	Finance	Property-Casualty Insurers	17.68	5.26	0	120980800	0	2.2	2.57	1.71
ACGLP	Arch Capital Group Ltd			5.78	3.87	0	18000000000	0	0	97.74	0.42
ACHC	Acadia Healthcr Co	Healthcare	Specialized Health Services	0	-0.02	0	87448560	0	1.07	1.31	1.5
ACHN	Achillion Pharmaceut	Consumer Durables	Major Pharmaceuticals	0	-0.3	0	136679900	0	-0.42	18.65	1.47
ACIA	Acacia Communica Cmn			25.77	2.17	0	37486610	0	0.37	5.24	7.71
ACIU	AC Immune Sa			0	-0.17	0	49542880	0	0	25.85	3.91
ACIW	Aci Worldwide Inc	Technology	Computer Software: Prepackaged Software	22.08	0.9	0	117380300	0	-3.48	2.38	3.33
ACLS	Axcelis Tech Inc	Technology	Industrial Machinery/Components	44.72	0.36	0	29516770	0	0.85	1.74	2.31
ACNB	Acnb Corp	Finance	Major Banks	16.08	1.84	2.75	6061046	0.8	0	3.61	1.46
ACOR	Acorda Therapeutics	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	0	-0.5	0	45967740	0	3.89	2.23	1.71
ACRS	Aclaris Therapts Cmn			0	-2.07	0	21431910	0	-0.19	0	7.02
ACRX	Acelrx Pharmaceutica	Consumer Durables	Major Pharmaceuticals	0	-0.98	0	45333330	0	0	11.11	43.06
ACSF	American Capital Sen			0	0.84	9.13	0	1.16	0	0	0
ACST	Acasti Pharma Cmn A			0	-0.7	0	10709920	0	0	640.78	0.91
ACTA	Actua Corp Cmn			0	-2.41	0	36828980	0	-2.97	3.68	1.7
