Symbol	Name	Sector	Industry	PE	EPS	DivYield	Shares	DPS	PEG	PtS	PtB
A	Agilent Technologies	Capital Goods	Electrical Products	35.97	1.4	1.06	321683900	0.53	2.35	3.86	3.85
AA	Alcoa Corporation	Capital Goods	Metal Fabrications	0	-2.19	1.25	183028700	0.36	0.2	0.73	1.21
AAC	Aac Holdings Inc			0	-0.03	0	23707590	0	0.55	0.76	1.15
AAN	Aaron's Inc	Technology	Diversified Commercial Services	15.72	1.91	0.37	71547420	0.11	1.11	0.66	1.47
AAP	Advance Auto Parts Inc	Consumer Services	Other Specialty Stores	26.88	6.1	0.15	73636090	0.24	2.34	1.28	4.25
AAT	American Assets Trust	Consumer Services	Real Estate Investment Trusts	62.62	0.7	2.41	45558090	1.04	19.77	6.9	2.49
AAV	Advantage Oil & Gas Ltd	Energy	Oil & Gas Production	325	0.02	0	184615400	0	6.01	12.59	1.33
AB	Alliancebernstein Holding L.P.	Finance	Investment Managers	11.58	2.02	7.74	94871790	1.8	5.05	10.02	1.49
ABB	Abb Ltd	Consumer Durables	Electrical Products	25.23	0.77	3.32	2138549000	0.75	3.01	1.44	3.62
ABBV	Abbvie Inc Common Stock			16.64	3.63	4.21	1625124000	2.56	0.77	3.86	15.28
ABC	Amerisourcebergen Corp	Health Care	Other Pharmaceuticals	15.23	5.99	1.59	217286400	1.46	1.68	0.13	9.4
ABEV	Ambev S.A.			22.38	0.24	2.04	15699630000	0.11	7.74	5.48	5.51
ABG	Asbury Automotive Group Inc	Consumer Durables	Automotive Aftermarket	8.87	7.4	0	22086820	0	0.64	0.22	5.68
ABM	ABM Industries Incorporated	Finance	Diversified Commercial Services	40.56	1	1.7	55473370	0.68	4.28	0.44	2.3
ABR	Arbor Realty Trust	Consumer Services	Real Estate Investment Trusts	13.79	0.53	8.73	51401640	0.64	1.55	3.5	0.78
ABR-A	Arbor Realty Trust Inc			0	0	0	0	0	0	0	0
ABR-B	Arbor Realty Trust Inc			0	0	0	0	0	0	0	0
ABR-C	Arbor Realty Trust			0	0	0	0	0	0	0	0
ABRN	Arbor Realty Trust 7.375% Senior			47.95	0.53	0	51453260	0	0	12.19	2.72
ABT	Abbott Laboratories	Consumer Durables	Major Pharmaceuticals	45.61	0.94	2.49	1472391000	1.06	1.54	3	3.01
ABX	Barrick Gold Corp	Basic Industries	Precious Metals	0	-2.05	0.52	1165213000	0.08	0.75	2.63	2.97
AC	Associated Capital Group Inc			84.5	0.43	0.56	25340970	0.2	0	38.23	1.02
ACC	American Campus Communities Inc	Consumer Services	Real Estate Investment Trusts	61.26	0.8	3.43	132182700	1.68	2.46	8.24	1.87
ACCO	Acco Brands Corp			11.73	1.11	0	107279700	0	1.54	0.9	1.9
ACH	Aluminum Corporation of China Ltd	Basic Industries	Aluminum	132.2	0.1	0	1002269000	0	-6.04	0.75	2.37
ACM	Aecom Technology Corp	Consumer Services	Military/Government/Technical	36.78	1.04	0	155208300	0	2.53	0.34	1.75
